name,ra,dec,vmag
HIP 35904,07 24 05.7050,-29 18 11.231,2.45
HIP 78104,15 56 53.0867,-29 12 50.444,3.87
HIP 14879,03 12 04.2800,-28 59 20.782,3.80
ウェズン,06 58 37.5467,-28 58 19.522,1.50
HIP 37677,07 43 48.4721,-28 57 17.407,3.94
HIP 81266,16 35 52.9594,-28 12 57.462,2.82
HIP 76470,15 37 01.4586,-28 08 06.256,3.60
HIP 33856,07 01 43.1517,-27 56 05.430,3.49
HIP 93864,19 06 56.4423,-27 40 11.331,3.32
HIP 92041,18 45 39.3530,-26 59 26.806,3.17
HIP 37229,07 38 49.8813,-26 48 14.013,3.80
HIP 68895,14 06 22.2690,-26 40 55.268,3.25
アンタレス,16 29 24.4675,-26 25 55.006,1.06
アダーラ,07 08 23.4860,-26 23 35.548,1.83
HIP 92855,18 55 15.9167,-26 17 47.739,2.05
HIP 78265,15 58 51.1207,-26 06 50.554,2.89
HIP 80112,16 21 11.3225,-25 35 33.909,2.90
HIP 90496,18 27 58.2695,-25 25 16.490,2.82
HIP 73714,15 04 04.2619,-25 16 54.682,3.25
HIP 84970,17 22 00.5841,-24 59 58.157,3.27
HIP 38170,07 49 17.6587,-24 51 35.222,3.34
HIP 39757,08 07 32.7022,-24 18 15.972,2.83
HIP 33152,06 54 07.9548,-24 11 03.203,3.89
HIP 33977,07 03 01.4736,-23 49 59.885,3.02
HIP 61359,12 34 23.2341,-23 23 47.843,2.65
HIP 64962,13 18 55.2534,-23 10 17.085,2.99
HIP 78401,16 00 20.0117,-22 37 17.833,2.29
HIP 59316,12 10 07.5259,-22 37 11.252,3.02
HIP 27072,05 44 27.9750,-22 26 50.952,3.59
HIP 105881,21 26 40.0277,-22 24 40.962,3.77
HIP 23685,05 05 27.6521,-22 22 15.084,3.19
HIP 15474,03 19 30.9697,-21 45 28.592,3.70
HIP 93683,19 04 40.9338,-21 44 28.876,3.76
HIP 114341,23 09 26.7621,-21 10 20.948,3.68
